 dose ,     Z,    LET,  tum,atRisk,Prev,SD,NWeight,     SKE,       u,     beta,    Katz,Beam,  place,time,notes
26,22,100,13,55,0.236363636,0.0572865,304.7161172,1000,48,0.876,630.72,Ti,NSRL,Chang16,OK
52,22,100,23,62,0.370967742,0.061349169,265.6945373,1000,48,0.876,630.72,Ti,NSRL,Chang16,OK
10,26,193,15,78,0.192307692,0.044624565,502.1714286,600,56,0.793,1074.98,Fe,NSRL,Chang16,OK
20,26,193,11,47,0.234042553,0.061759078,262.1792929,600,56,0.793,1074.98,Fe,NSRL,Chang16,OK
40,26,193,13,41,0.317073171,0.072673304,189.3434066,600,56,0.793,1074.98,Fe,NSRL,Chang16,OK
5,26,193,24,154,0.155844156,0.029227806,1170.597436,600,56,0.793,1074.98,Fe,LBL,Alpen,
10,26,193,32,149,0.214765101,0.03364252,883.5333868,600,56,0.793,1074.98,Fe,LBL,Alpen,
15,26,193,19,82,0.231707317,0.046593603,460.6248956,600,56,0.793,1074.98,Fe,LBL,Alpen,
20,26,193,27,88,0.306818182,0.049161236,413.7656345,600,56,0.793,1074.98,Fe,LBL,Alpen,
40,26,193,27,83,0.325301205,0.05142316,378.1660053,600,56,0.793,1074.98,Fe,LBL,Alpen,
80,26,193,31,56,0.553571429,0.066430697,226.6012903,600,56,0.793,1074.98,Fe,LBL,Alpen,
160,26,193,48,74,0.648648649,0.055495748,324.6987179,600,56,0.793,1074.98,Fe,LBL,Alpen,
5,26,253,10,81,0.12345679,0.036551201,748.5084507,350,56,0.654,1580.49,Fe,LBL,Alpen,
10,26,253,12,83,0.144578313,0.038601365,671.1115023,350,56,0.654,1580.49,Fe,LBL,Alpen,
20,26,253,12,58,0.206896552,0.053189701,353.4637681,350,56,0.654,1580.49,Fe,LBL,Alpen,
40,26,253,9,29,0.310344828,0.085909117,135.4944444,350,56,0.654,1580.49,Fe,LBL,Alpen,
10,41,464,13,71,0.183098592,0.045898464,474.6830239,600,93,0.793,2673.14,Nb,LBL,Alpen,
20,41,464,9,54,0.166666667,0.050715052,388.8,600,93,0.793,2673.14,Nb,LBL,Alpen,
40,41,464,19,48,0.395833333,0.070585248,200.7114338,600,93,0.793,2673.14,Nb,LBL,Alpen,
80,41,464,15,28,0.535714286,0.094249761,112.574359,600,93,0.793,2673.14,Nb,LBL,Alpen,
20,57,953,4,26,0.153846154,0.070758939,199.7272727,593,139,0.791,5192.74,La,LBL,Alpen,
40,57,953,5,39,0.128205128,0.053533736,348.9352941,593,139,0.791,5192.74,La,LBL,Alpen,
80,57,953,5,15,0.333333333,0.121716124,67.5,593,139,0.791,5192.74,La,LBL,Alpen,
